8211916020     ,8211916030     ,Wire Name,Start Side Circuit Symbol,Start Side Terminal Identification,Start Side Cavity Number(@),End Side Circuit Symbol,End Side Terminal Identification,End Side Cavity Number(@),Multiple WireNo,Kind of Multiple Wire,Start side terminal customer part No.,End side terminal customer part No.
1,1,000101,CGS,3,2,ZSF,4,5,1,1S0,90980-12790-BYZK,90980-12790-BYZK
1,1,000201,CGT,3,3,ZSG,4,6,1,1S0,90980-12790-BYZK,90980-12790-BYZK
1,1,000301,CGL,2,2,CGP,3,5,2,1S0,90980-12790-BYZK,90980-12790-BYZK
1,1,000401,CGM,2,3,CGQ,3,6,2,1S0,90980-12790-BYZK,90980-12790-BYZK
1,1,000501,CGH,2,5,ZSQ,1,2,3,1S0,90980-12790-BYZK,90980-12790-BYZK
1,1,000601,CGJ,2,6,ZSR,1,3,3,1S0,90980-12790-BYZK,90980-12790-BYZK
1,1,000701,QUD,550,8,ZSN,1,6,4,1S0,90980-12379-BYZK,90980-12790-BYZK
1,1,000801,ZSC,550,7,ZSM,1,5,4,1S0,90980-12379-BYZK,90980-12790-BYZK
1,,000901,CGB,5,5,JUG,550,2,5,1S0,90980-12A59-GRYZK,90980-12379-BYZK
1,,001001,CGC,5,6,JUK,550,3,5,1S0,90980-12A59-GRYZK,90980-12379-BYZK
1,,001101,CGE,5,2,CGV,6,5,6,1S0,90980-12A59-GRYZK,90980-12A59-GRYZK
1,,001201,CGF,5,3,CGW,6,6,6,1S0,90980-12A59-GRYZK,90980-12A59-GRYZK
1,,001301,CGA,5,4,JUN,550,1,,,90980-12A59-GRYZK,90980-12379-BYZK
1,,001401,CGD,5,1,CGU,6,4,,,90980-12A59-GRYZK,90980-12A59-GRYZK
1,1,001501,CGG,2,4,ZSP,1,1,,,90980-12790-BYZK,90980-12790-BYZK
1,1,001601,CGK,2,1,CGN,3,4,,,90980-12790-BYZK,90980-12790-BYZK
1,1,001701,CGR,3,1,ZSE,4,4,,,90980-12790-BYZK,90980-12790-BYZK
1,1,001801,ZSA,550,6,ZSL,1,4,,,90980-12379-BYZK,90980-12790-BYZK
1,1,001901,$2P,402,1,&2C,550,9,,,SPLCE-W0001,90980-12379-BYZK
1,1,002001,$2P,402,1,Z94,8,1,,,SPLCE-W0001,82824-0R070-B
1,1,002101,$2P,402,1,Z95,7,1,,,SPLCE-W0001,82824-0R070-B
1,1,002201,$2Q,401,1,&1C,550,4,,,SPLCE-W0001,90980-12379-BYZK
1,1,002301,$2Q,401,1,C30,8,2,,,SPLCE-W0001,82824-0R070-B
1,1,002401,$2Q,401,1,C31,7,2,,,SPLCE-W0001,82824-0R070-B
